after-correction heading RMS (deg), mean of 2 seeds x 600 s   |  uncorrected  |  camera-only error inside windows (deg)
tracker          1px      3px      6px     10px   | before |     1px      3px      6px     10px
hip             0.84     1.00     1.39     2.00   |   3.23 |    0.18     0.56     1.11     1.82
waist           2.65     2.64     2.65     2.71   |  12.23 |    2.83     2.81     2.80     2.84
chest           1.33     1.33     1.37     1.50   |  15.67 |    0.08     0.25     0.51     0.86
thighL          1.46     1.54     1.75     2.57   |  18.97 |    0.15     0.44     0.98     1.58
shinL           1.20     1.23     1.45     2.30   |  15.49 |    0.15     0.44     0.98     1.58
footL           1.16     1.23     1.41     1.79   |  10.34 |    0.12     0.36     0.71     1.22
thighR          1.88     1.93     2.05     2.40   |  22.73 |    0.10     0.29     0.61     1.20
shinR           1.05     1.14     1.31     1.74   |   9.76 |    0.10     0.29     0.61     1.20
footR           1.14     1.25     1.49     1.93   |   9.33 |    0.12     0.36     0.76     1.36
upperArmL       1.96     2.13     2.56     3.06   |  26.67 |    0.17     0.51     1.02     1.62
upperArmR       2.96     3.00     3.33     5.08   |  42.90 |    0.10     0.36     0.70     1.14
still windows per 600 s run: [17, 18, 17, 18, 17, 18, 17, 18]
