subject,bone,run,n,err_win,yaw,motion
1,chest,279,69,5.011544596996131,-3.036849164296452,hand_clapping
1,chest,927,101,3.6823732035506977,-0.1443237137867189,checking_watch
1,chest,1359,40,2.51066114467404,-15.599241036430664,taking_photo
1,hip,2429,86,0.3873791465658631,-3.076966718382595,hand_clapping
1,hip,2566,42,20.905634393298264,2.1184128973551246,crossarms
1,hip,3073,118,0.07191471848490229,-0.9634132189572029,checking_watch
1,hip,3497,39,8.993177850440185,-15.289010676686008,taking_photo
1,shinL,5010,44,7.665298605012905,21.995614804814924,cross_legged_sitting
1,shinR,6268,41,-1.9588455026765246,22.04250079075855,cross_legged_sitting
1,thighL,7411,65,-30.51642232168863,21.834919261633914,cross_legged_sitting
1,thighR,8710,36,22.14150607736182,22.096117751348043,cross_legged_sitting
2,chest,9432,52,2.9365788441722462,-15.535279917647358,scratching_head
2,chest,9941,36,-3.570416544114313,-7.487442393496536,stretching
2,chest,9959,47,-2.5687884112311905,-8.789658590243242,pointing
2,hip,10949,59,6.876379260848029,-15.673394841516071,scratching_head
2,hip,11037,37,1.7364534894212116,-10.654670642536217,hand_clapping
2,hip,11038,65,3.8545717572950453,-11.134865946381678,crossarms
2,hip,11369,33,-2.4445127465272516,-8.643204277385074,hand_waving
2,hip,11372,58,-7.514802065780251,-12.129158753808019,phone_talking
2,hip,11393,32,-2.165051551296112,-7.3398399217843036,stretching
2,hip,11405,48,1.1091306536944485,-8.834915146676398,pointing
2,hip,11709,68,16.55825280195498,-8.516065684269897,checking_watch
2,hip,11971,45,-7.805543796620486,-2.091277033712125,sitting_down
2,shinL,12955,47,0.19772717666941939,-2.082687333481216,sitting_down
2,shinR,14036,53,3.470194349380885,-2.0533344966368126,sitting_down
2,thighL,14988,48,-30.468956174683374,-2.083909346236132,sitting_down
2,thighR,16077,47,-3.0962707170049684,-2.094687064345614,sitting_down
3,chest,16135,44,-3.63508901366528,-3.8598056114366144,checking_watch
3,chest,17021,36,-1.4376901620495413,-1.9780419503036495,crossarms
3,chest,17252,56,-0.0664347692810186,-1.425019030540021,hand_clapping
3,chest,17312,75,-1.3578581501118065,-1.1046968437636668,vertical_jumping
3,hip,17854,64,0.6951009849302009,-2.7894348398563915,checking_watch
3,hip,18906,32,14.246548955235204,17.963540961211372,taking_photo
3,hip,18980,51,3.6281065324791917,-1.4283278365387202,hand_clapping
3,hip,19044,49,-1.8131636172167411,-0.3637772209322697,vertical_jumping
3,hip,19195,33,-8.848878392420309,1.4579423134398761,cross_legged_sitting
