subject,motion,matched,bone,win_s,err_raw,err_cal
1,sitting_down,0,,,,
1,cross_legged_sitting,1,hip,0.5,2.2678956672105612,0.8956667803494806
1,cross_legged_sitting,1,chest,0.5,-4.073559787759176,4.034111011279213
1,cross_legged_sitting,1,thighL,0.5,-24.040738663657006,-24.40921862338838
1,cross_legged_sitting,1,thighR,0.5,4.649633572041273,9.624537825156047
1,cross_legged_sitting,1,shinL,0.5,0.5858408991491213,-3.019877567026986
1,cross_legged_sitting,1,shinR,0.5,-9.652598331739744,1.2222844333667566
1,phone_talking,1,hip,2.0,4.5402526287039855,6.365785713609386
1,phone_talking,1,chest,2.0,-2.4834806790723607,2.569229995739127
1,phone_talking,1,hip,0.5,-13.103253010960865,-11.277719926055465
1,phone_talking,1,chest,0.5,-10.504885759311463,-5.452175084499976
1,checking_watch,1,hip,2.7,-4.882617601126533,1.1847836092014687
1,checking_watch,1,chest,2.7,-6.685696244980107,-0.6094534029758585
1,taking_photo,1,hip,1.9,0.2965014322815154,1.5073854502470545
1,taking_photo,1,chest,1.9,-9.128964960211436,-0.3357749592248975
1,scratching_head,0,,,,
1,crossarms,1,hip,1.8,3.5695687149994337,11.207339059784251
1,crossarms,1,chest,1.8,3.9357284253503737,7.851553484543464
2,sitting_down,1,hip,2.5,-11.905588498579382,-1.446270373417318
2,sitting_down,1,chest,2.5,-5.268453791717099,-1.8510534233003053
2,sitting_down,1,thighL,2.5,-25.578992585938956,-23.304377235131494
2,sitting_down,1,thighR,2.5,-1.6695812963396028,-6.33007622393205
2,sitting_down,1,shinL,2.5,3.1410722087243568,-4.559925353748752
2,sitting_down,1,shinR,2.5,-3.629417840526344,1.5813478261288874
2,sitting_down,1,hip,1.4,-11.876027229453474,-1.4167091042914086
2,sitting_down,1,chest,1.4,-4.552558626958302,-1.1351582585415085
2,sitting_down,1,thighL,1.4,0.13405462463462134,2.4086699754420833
2,sitting_down,1,thighR,1.4,-0.18536917263709574,-4.845864100229543
2,sitting_down,1,shinL,1.4,9.484437362046847,1.7834397995737392
2,sitting_down,1,shinR,1.4,-6.609006440484874,-1.398240773829643
2,cross_legged_sitting,0,,,,
2,checking_watch,1,hip,1.4,11.53104465364531,4.8694870816732445
2,checking_watch,1,chest,1.4,6.0965773486963,7.094956045173642
2,scratching_head,1,hip,1.9,0.7825259834680525,6.438255513954892
2,scratching_head,1,chest,1.9,-5.465582818416974,4.77995921211343
3,sitting_down,0,,,,
3,cross_legged_sitting,0,,,,
3,phone_talking,0,,,,
3,crossarms,1,hip,1.4,-5.21487644767704,2.187701854350914
3,crossarms,1,chest,1.4,-5.177490459878521,1.7917860949566602
4,sitting_down,1,hip,2.3,-10.882836662353798,0.1920593621523194
4,sitting_down,1,chest,2.3,-4.316267331990759,-6.899159534987196
4,sitting_down,1,thighL,2.3,2.6295959348311673,-23.228218294900174
4,sitting_down,1,thighR,2.3,-5.445833717839999,-7.291432603408542
4,sitting_down,1,shinL,2.3,18.165103100056015,-9.636440164022355
4,sitting_down,1,shinR,2.3,-12.142577351695603,-14.658059872535956
4,cross_legged_sitting,0,,,,
4,phone_talking,1,hip,0.8,-3.9094806778397024,-0.8153850533021484
4,phone_talking,1,chest,0.8,-10.079639581557052,-9.19707044435754
5,sitting_down,0,,,,
5,cross_legged_sitting,0,,,,
5,phone_talking,1,hip,2.1,-7.754812569381851,2.276183593076512
5,phone_talking,1,chest,2.1,-9.584698005436703,0.6862535370567601
5,crossarms,1,hip,2.0,-7.268068229322903,-0.23679283824658282
5,crossarms,1,chest,2.0,-1.7440907722350718,1.7680373472132318
