cam,subject,motion,matched,bone,win_s,err_raw,err_cal
PG1,1,sitting_down,1,hip,1.7,11.436622434168973,-19.55427345122316
PG1,1,sitting_down,1,chest,1.7,-5.824167301516287,-28.405215357431548
PG1,1,sitting_down,1,thighR,1.7,-17.449075384593908,-17.449075384593908
PG1,1,sitting_down,1,shinR,1.7,-26.384533619588616,-26.384533619588616
PG1,1,sitting_down,1,hip,2.2,12.125952226859406,-18.864943658532727
PG1,1,sitting_down,1,chest,2.2,3.3998069196198184,-19.181241136295444
PG1,1,cross_legged_sitting,1,hip,4.9,-11.071831683441012,-9.632043512552618
PG1,1,cross_legged_sitting,1,chest,4.9,-17.29501831149654,-7.0622157629959075
PG1,1,cross_legged_sitting,1,thighL,4.9,26.694752633373348,-11.421622844753088
PG1,1,cross_legged_sitting,1,thighR,4.9,-1.8011738996204993,66.3283814869086
PG1,1,cross_legged_sitting,1,shinL,4.9,60.9891622382487,19.635548253677484
PG1,1,cross_legged_sitting,1,shinR,4.9,-27.353686338109423,46.675847560411306
PG1,1,phone_talking,1,hip,3.4,-8.424266582275834,-3.0925547610416824
PG1,1,phone_talking,1,chest,3.4,-4.903353147154827,-4.491728396563989
PG1,1,checking_watch,1,hip,3.0,-4.150276268767831,1.3392654088595792
PG1,1,checking_watch,1,chest,3.0,-4.241213058851537,0.3944467272053542
PG1,1,taking_photo,1,hip,2.5,14.59440143265684,4.756743830385125
PG1,1,taking_photo,1,chest,2.5,15.344441792168709,6.797527330326152
PG1,1,scratching_head,0,,,,
PG1,1,crossarms,1,hip,2.0,-0.8150003278534597,-0.7537904096978365
PG1,1,crossarms,1,chest,2.0,-2.9350228791918567,-2.643799493011367
PG1,2,sitting_down,1,hip,5.0,-6.389511110374926,-4.888633898097923
PG1,2,sitting_down,1,chest,5.0,-4.899320812113961,-10.787371811719998
PG1,2,sitting_down,1,thighL,5.0,-3.3421175888850123,-29.93671995650299
PG1,2,sitting_down,1,thighR,5.0,-14.461143317305245,-3.806896735341859
PG1,2,sitting_down,1,shinL,5.0,14.888540123668305,-21.68167515723022
PG1,2,sitting_down,1,shinR,5.0,-17.144753717672057,3.380753458539086
PG1,2,cross_legged_sitting,1,hip,2.4,-1.6878651995587153,-10.213778613754693
PG1,2,cross_legged_sitting,1,chest,2.4,4.967563818378784,-8.211659894673664
PG1,2,cross_legged_sitting,1,thighL,2.4,85.8399390550959,13.034287895750081
PG1,2,cross_legged_sitting,1,thighR,2.4,-20.392077467571053,-7.123842527555669
PG1,2,cross_legged_sitting,1,shinL,2.4,124.4931777529373,44.60084343956749
PG1,2,cross_legged_sitting,1,shinR,2.4,-62.541495552311424,-32.6915607379744
PG1,2,checking_watch,1,hip,2.4,7.666126294810302,-3.6467260427731247
PG1,2,checking_watch,1,chest,2.4,-5.460300145226653,-2.1604944710065994
PG1,2,scratching_head,1,hip,2.0,14.10671294630999,21.588784285321942
PG1,2,scratching_head,1,chest,2.0,11.188235401623814,22.28529788797534
